type,item_name,Pinyin,must_verb,slot,describe,tags, must_not,備註
normal,藍衫,lamˇ samˊ,著,clothes,傳統客家婦女的經典藍染大襟衫，最亮眼的客庄時尚。,"冷, 熱","運動, 賞螢, 水上",
normal,短衫,donˋ qiu,著,clothes,透氣清爽的短袖棉質上衣，適合夏日活動。,"日常, 運動, 正式, 熱",水上,
normal,短褲,donˋ  fu,著,pants,運動與高溫天氣的清涼選擇。,"日常, 運動, 熱","賞螢, 水上",
normal,長褲,congˇ fu,著,pants,適合在郊外穿，遮擋蚊蟲。,"日常, 賞螢, 正式, 喜慶, 冷, 熱",水上,
normal,裙,kiunˇ,著,skirt,舒適的日常或宴會的優雅打扮。,"日常, 正式, 喜慶, 熱","冷, 運動, 賞螢, 水上",
normal,羽絨衫,iˋ iungˇ samˊ,著,clothes,極致防寒的羽絨外套，適合寒冬出門穿搭。,"日常, 冷","熱, 運動, 水上",
normal,膨線衫,pong xien samˊ,著,clothes,針織膨線毛衣，觸感溫暖舒適、具有良好保溫性。,"日常, 冷","熱, 運動, 水上",
normal,頸圍仔,giangˋ viˇ eˋ,"戴, 著",accessories,繞在脖子上的保暖毛織品。,"日常, 冷","熱, 運動, 水上",
normal,帽仔,mo eˋ,戴,head,遮太陽的帽子。,"日常, 冷, 熱",水上,
normal,鞋,haiˇ,著,shoes,適合健行等活動的運動鞋。,"日常, 運動, 賞螢, 正式, 喜慶, 冷, 熱",水上,
normal,膝頭落仔,qidˋ teuˇ labˋ eˋ,著,knee,溜直排輪時套在膝蓋上的防磨防撞護具。,"運動, 冷, 熱",水上,
rain,水靴筒,suiˋ hioˊ tungˇ,著,shoes,防水防泥的橡膠中筒雨靴。,"下雨, 打掃, 冷, 熱","日常, 水上",
water,泅水帽,qiuˇ suiˋ moapˋ,戴,head,在游泳池中必須穿的專用配件。,"冷, 熱, 水上","日常, 下雨",
water,"泅水衫",siuˊ suiˋ samˊ,著,clothes,在游泳池中必須穿的專用配件。,"冷, 熱, 水上","日常, 下雨",
color,柑仔色,gamˊ eˋ sedˋ,,,,"活潑, 亮","賞螢, 打掃",
color,黃色,vongˇ sedˋ,,,,"杭菊, 活潑, 亮","賞螢, 打掃",
color,白色,pag sedˋ,,,,"桐花, 杭菊, 正式, 亮",打掃,
color,烏色,vuˊ sedˋ,,,,"打掃, 正式, 暗","喜慶, 探親",
color,吊菜色,diau coi sedˋ,,,,"日常, 活潑, 亮, 暗",,
color,紅色花圖案,fungˇ sedˋ faˊ bu,,,,"客庄, 亮",,